name: 26889390-8fd2-4a72-b80c-a7562fc27857
token, class_id, token_value, token_tf, token_df
автобанк, @default_class, 0.0, 3.0, 1.0
рублевый_счет, @default_class, 0.0, 1.0, 1.0
овк, @default_class, 0.0, 1.0, 1.0
реформа, @default_class, 0.0, 1.0, 1.0
минимальный_плат, @default_class, 0.0, 1.0, 1.0
егрн, @default_class, 0.0, 1.0, 1.0
опыт_печальный, @default_class, 0.0, 1.0, 1.0
арендный, @default_class, 0.0, 1.0, 1.0
импэкс, @default_class, 0.0, 2.0, 1.0
внимательно_изучать, @default_class, 0.0, 2.0, 2.0
папочка, @default_class, 0.0, 2.0, 1.0
финансбанк, @default_class, 0.0, 18.0, 7.0
инвестсбербанк, @default_class, 0.0, 1.0, 1.0
тушинский, @default_class, 0.0, 1.0, 1.0
ложечка, @default_class, 0.0, 1.0, 1.0
преображенка, @default_class, 0.0, 2.0, 1.0
снг, @default_class, 0.166666671634, 1.0, 1.0
мбрр, @default_class, 0.0, 1.0, 1.0
кредитный_отдел, @default_class, 0.0, 1.0, 1.0
загс, @default_class, 0.0, 1.0, 1.0
субсидия, @default_class, 0.0, 2.0, 1.0
приказ_судебный, @default_class, 0.0, 1.0, 1.0
маркт, @default_class, 0.0, 1.0, 1.0
экономный, @default_class, 0.333333343267, 1.0, 1.0
шустро, @default_class, 0.0, 2.0, 2.0
описание_подробный, @default_class, 0.0, 2.0, 1.0
рим, @default_class, 0.0, 2.0, 1.0
юрисдикция, @default_class, 0.0, 1.0, 1.0
замерзать, @default_class, 0.214285716414, 2.0, 2.0
красногвардейский, @default_class, 0.0, 1.0, 1.0
абсолют, @default_class, 0.0, 1.0, 1.0
разрешение_скорый, @default_class, 0.0, 1.0, 1.0
льготный_условие, @default_class, 0.0, 1.0, 1.0
мособлбанк, @default_class, 0.0, 1.0, 1.0
непринятый, @default_class, 0.0, 2.0, 2.0
горячка, @default_class, 0.333333343267, 4.0, 1.0
оба, @default_class, 0.0, 1.0, 1.0
картсч, @default_class, 0.0, 1.0, 1.0
недостающий_сумма, @default_class, 0.0, 4.0, 2.0
блиц, @default_class, 0.0, 1.0, 1.0
бар, @default_class, 0.0, 2.0, 1.0
